DEBUG | ??:??:?? 9 [Router] Forwarding to phone (id=0x675410cc fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=693f7a56 priority=70)
DEBUG | ??:??:?? 9 [Router] Module 'routing' considered
DEBUG | ??:??:?? 9 Client not yet interested in packets (state=7)
DEBUG | ??:??:?? 9 Send module config: telemetry
DEBUG | ??:??:?? 9 Send module config: canned message
DEBUG | ??:??:?? 9 Send module config: audio
INFO  | ??:??:?? 9 toRadioWriteCb data 0x2002da82, len 31
DEBUG | ??:??:?? 9 New ToRadio packet
DEBUG | ??:??:?? 9 PACKET FROM PHONE (id=0x59aec882 fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=1, HopLim=0 Ch=0x0 Portnum=6 WANTRESP priority=70)
DEBUG | ??:??:?? 9 Enqueued local (id=0x59aec882 fr=0x00000000 to=0xef8d4c32, transport = 0, WantAck=1, HopLim=0 Ch=0x0 Portnum=6 WANTRESP priority=70)
INFO  | ??:??:?? 10 tophone queue status queue is full, discard oldest
DEBUG | ??:??:?? 10 Client not yet interested in packets (state=7)
INFO  | ??:??:?? 10 [Router] Packet History - insert: Using new slot @uptime 10.002s TRACE NEW
DEBUG | ??:??:?? 10 [Router] handleReceived(REMOTE) (id=0x59aec882 fr=0x00000000 to=0xef8d4c32, transport = 0, WantAck=1, HopLim=0 Ch=0x0 Portnum=6 WANTRESP priority=70)
DEBUG | ??:??:?? 10 [Router] Module 'Admin' wantsPacket=1
INFO  | ??:??:?? 10 [Router] Received Admin from=0x0, id=0x59aec882, portnum=6, payloadlen=2
INFO  | ??:??:?? 10 [Router] Handle admin payload 10
DEBUG | ??:??:?? 10 [Router] Client getting radio canned messages
DEBUG | ??:??:?? 10 [Router] *** handleGetCannedMessageModuleMessages
DEBUG | ??:??:?? 10 [Router] Reply prepared by module 'canned' of variant: 11
DEBUG | ??:??:?? 10 [Router] Set admin key to  00 6b a5 e5 0d a0 6c 26

DEBUG | ??:??:?? 10 [Router] Partially randomized packet id 1076100301
INFO  | ??:??:?? 10 [Router] Asked module 'Admin' to send a response
DEBUG | ??:??:?? 10 [Router] Module 'routing' wantsPacket=1
DEBUG | ??:??:?? 10 [Router] Routing sniffing (id=0x59aec882 fr=0x00000000 to=0xef8d4c32, transport = 0, WantAck=1, HopLim=0 Ch=0x0 Portnum=6 WANTRESP priority=70)
DEBUG | ??:??:?? 10 [Router] Another module replied to this message, no need for 2nd ack
DEBUG | ??:??:?? 10 [Router] Module 'routing' considered
DEBUG | ??:??:?? 10 [Router] Send response (id=0x4023fccd fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=59aec882 priority=70)
DEBUG | ??:??:?? 10 [Router] Ignore update from self
DEBUG | ??:??:?? 10 [Router] Enqueued local (id=0x4023fccd fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=59aec882 priority=70)
INFO  | ??:??:?? 10 [Router] tophone queue status queue is full, discard oldest
DEBUG | ??:??:?? 10 [Router] Rx someone rebroadcasting for us (id=0x4023fccd fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=59aec882 priority=7
DEBUG | ??:??:?? 10 [Router] Didn't find pending packet
INFO  | ??:??:?? 10 [Router] Packet History - insert: Using new slot @uptime 10.040s TRACE NEW
DEBUG | ??:??:?? 10 [Router] handleReceived(REMOTE) (id=0x4023fccd fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=59aec882 priority=70)
DEBUG | ??:??:?? 10 [Router] Send module config: remote hardware
DEBUG | ??:??:?? 10 [Router] Module 'Admin' wantsPacket=1
INFO  | ??:??:?? 10 [Router] Received Admin from=0xef8d4c32, id=0x4023fccd, portnum=6, payloadlen=29
DEBUG | ??:??:?? 10 [Router] Allow admin response message
INFO  | ??:??:?? 10 [Router] Handle admin payload 11
DEBUG | ??:??:?? 10 [Router] Module API did not handle admin message 11
DEBUG | ??:??:?? 10 [Router] Module 'Admin' considered
DEBUG | ??:??:?? 10 [Router] Module 'routing' wantsPacket=1
DEBUG | ??:??:?? 10 [Router] Routing sniffing (id=0x4023fccd fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=59aec882 priority=70)
DEBUG | ??:??:?? 10 [Router] Received a ACK for 0x59aec882, stopping retransmissions
DEBUG | ??:??:?? 10 [Router] Delivering rx packet (id=0x4023fccd fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=59aec882 priority=70)
DEBUG | ??:??:?? 10 [Router] Ignore update from self
DEBUG | ??:??:?? 10 [Router] Forwarding to phone (id=0x4023fccd fr=0xef8d4c32 to=0xef8d4c32, transport = 0, WantAck=0, HopLim=3 Ch=0x0 Portnum=6 requestId=59aec882 priority=70)
DEBUG | ??:??:?? 10 [Router] Module 'routing' considered
DEBUG | ??:??:?? 10 Client not yet interested in packets (state=7)
DEBUG | ??:??:?? 10 [UserButton] Send module config: neighbor info
DEBUG | ??:??:?? 10 [UserButton] Send module config: ambient lighting
DEBUG | ??:??:?? 10 [UserButton] Send module config: detection sensor
DEBUG | ??:??:?? 10 [UserButton] Send module config: paxcounter
ERROR | ??:??:?? 10 Unknown module config type 14
ERROR | ??:??:?? 10 Unknown module config type 15
ERROR | ??:??:?? 10 Unknown module config type 16
DEBUG | ??:??:?? 10 FromRadio=STATE_SEND_FILEMANIFEST
DEBUG | ??:??:?? 10 File: meshtastic.txt (90) bytes
DEBUG | ??:??:?? 10 FromRadio=STATE_SEND_FILEMANIFEST
DEBUG | ??:??:?? 10 File: transmit_history.dat (13) bytes
DEBUG | ??:??:?? 10 FromRadio=STATE_SEND_FILEMANIFEST
DEBUG | ??:??:?? 10 File: config.proto (228) bytes
DEBUG | ??:??:?? 10 FromRadio=STATE_SEND_FILEMANIFEST
DEBUG | ??:??:?? 10 File: module.proto (124) bytes
DEBUG | ??:??:?? 10 [GPS] Upgrade time to quality GPS
DEBUG | ??:??:?? 10 [GPS] FromRadio=STATE_SEND_FILEMANIFEST
DEBUG | ??:??:?? 10 [GPS] File: channels.proto (57) bytes
WARN  | 14:29:45 10 [GPS] RTC not found (found address 0x00)
WARN  | 14:29:45 10 [GPS] RTC not found (found address 0x00)
DEBUG | 14:29:45 10 [GPS] Time source acquired (None -> GPS), triggering NodeInfo recheck
DEBUG | 14:29:45 10 [GPS] NodeInfo: scheduling immediate periodic check
DEBUG | 14:29:45 10 [GPS] NMEA GPS time set 2026-07-27 12:29:45 age 10
INFO  | 14:29:45 10 [NodeInfo] Send our nodeinfo to mesh (wantReplies=0)
DEBUG | 14:29:45 10 [NodeInfo] Skip send NodeInfo since we sent it <600s ago
DEBUG | 14:29:45 10 FromRadio=STATE_SEND_FILEMANIFEST
DEBUG | 14:29:45 10 File: device.proto (160) bytes
DEBUG | 14:29:45 10 FromRadio=STATE_SEND_FILEMANIFEST
DEBUG | 14:29:45 10 File: nodes.proto (286) bytes
DEBUG | 14:29:45 10 FromRadio=STATE_SEND_FILEMANIFEST
DEBUG | 14:29:45 10 File: Messages_default.msgs (1) bytes
DEBUG | 14:29:45 10 FromRadio=STATE_SEND_FILEMANIFEST
INFO  | 14:29:45 10 Config Send Complete millis=10884
DEBUG | 14:29:45 10 FromRadio=STATE_SEND_PACKETS
DEBUG | 14:29:45 10 FromRadio=STATE_SEND_PACKETS
��@INFO  | ??:??:?? 1

//\ E S H T /\ S T / C

DEBUG | ??:??:?? 1 Filesystem files:
DEBUG | ??:??:?? 1    meshtastic.txt (90 Bytes)
DEBUG | ??:??:?? 1  adafruit (directory)
DEBUG | ??:??:?? 1  bond_prph (directory)
DEBUG | ??:??:?? 1  bond_cntr (directory)
DEBUG | ??:??:?? 1  prefs (directory)
DEBUG | ??:??:?? 1    transmit_history.dat (13 Bytes)
DEBUG | ??:??:?? 1    config.proto (228 Bytes)
DEBUG | ??:??:?? 1    module.proto (124 Bytes)
DEBUG | ??:??:?? 1    channels.proto (57 Bytes)
DEBUG | ??:??:?? 1    device.proto (160 Bytes)
DEBUG | ??:??:?? 1    nodes.proto (286 Bytes)
DEBUG | ??:??:?? 1    Messages_default.msgs (1 Bytes)
DEBUG | ??:??:?? 1 Power::max17048Init lipo sensor is not ready yet
DEBUG | ??:??:?? 1 Use analog input 5 for battery level
INFO  | ??:??:?? 1 Scan for i2c devices
DEBUG | ??:??:?? 1 Scan for I2C devices on port 1
INFO  | ??:??:?? 1 DFRobot Rain Gauge found at address 0x1d
DEBUG | ??:??:?? 1 Register value from 0x42: 0xffff
DEBUG | ??:??:?? 1 Register MFG_UID FE: 0xffff
DEBUG | ??:??:?? 1 Register value from 0x42: 0xffff
DEBUG | ??:??:?? 1 Register MFG_UID 05: 0xffff
INFO  | ??:??:?? 1 1 I2C devices found
DEBUG | ??:??:?? 1 acc_info = 0
DEBUG | ??:??:?? 1 mag_info = 0
INFO  | ??:??:?? 1 S:B:9,2.7.26.54e0d8d,rak4631,meshtastic/firmware
INFO  | ??:??:?? 1 Build timestamp: 1782259200
DEBUG | ??:??:?? 1 Reset reason: 0x0
ERROR | ??:??:?? 1 No radio instance available to provide entropy
